12개월누적수익률(퍼센트),1개월누적수익률(퍼센트),3개월누적수익률(퍼센트),6개월누적수익률(퍼센트),상품명,선취수수료(퍼센트),운용사명,총보수(퍼센트),펀드등급,펀드유형
"25.55","13.70","22.04","21.00","DB바이오헬스케어증권형1호AE","0.5000","디비자산운용","1.017",2,"주식형"
"24.04","13.60","21.68","20.27","DB바이오헬스케어증권형1호C","0.0000","디비자산운용","2.257",2,"주식형"
"25.41","13.69","22.00","20.93","DB바이오헬스케어증권형1호C-PE","0.0000","디비자산운용","1.507",2,"주식형"
"5.30","1.71","2.53","3.33","마이다스단기국공채공모주[채혼]A","0.6000","마이다스에셋자산운용","0.685",5,"채권혼합형"
"5.04","1.69","2.46","3.20","마이다스단기국공채공모주[채혼]C","0.0000","마이다스에셋자산운용","0.935",5,"채권혼합형"
"-8.70","0.00","0.00","0.00","마이다스단기국공채공모주[채혼]C-W","0.0000","마이다스에셋자산운용","0.335",5,"채권혼합형"
"-4.51","0.00","0.00","-6.36","마이다스단기국공채공모주[채혼]A-G","0.4200","마이다스에셋자산운용","0.580",5,"채권혼합형"
"5.24","1.71","2.51","3.30","마이다스단기국공채공모주[채혼]C-G","0.0000","마이다스에셋자산운용","0.755",5,"채권혼합형"
"18.37","5.56","7.07","2.15","마이다스책임투자증권투자신탁(주식)A","1.0000","마이다스에셋자산운용","1.600",2,"주식형"
"18.89","5.60","7.19","2.38","마이다스책임투자증권투자신탁(주식)Ae","0.5000","마이다스에셋자산운용","1.150",2,"주식형"
"17.68","5.51","6.91","1.85","마이다스책임투자증권투자신탁(주식)C1","0.0000","마이다스에셋자산운용","2.200",2,"주식형"
"18.37","5.56","7.07","2.15","마이다스책임투자증권투자신탁(주식)Ce","0.0000","마이다스에셋자산운용","1.600",2,"주식형"
"18.44","5.57","7.09","2.18","마이다스책임투자증권투자신탁(주식)C-P","0.0000","마이다스에셋자산운용","1.540",2,"주식형"
"18.92","5.60","7.20","2.40","마이다스책임투자증권투자신탁(주식)C-Pe","0.0000","마이다스에셋자산운용","1.120",2,"주식형"
"19.41","5.63","7.31","2.61","마이다스책임투자증권투자신탁(주식)Cw","0.0000","마이다스에셋자산운용","0.700",2,"주식형"
"5.36","1.72","2.54","3.36","마이다스단기국공채공모주[채혼]Ce","0.0000","마이다스에셋자산운용","0.635",5,"채권혼합형"
"6.80","1.06","2.28","3.02","마이다스우량채권1호(채권)C","0.0000","마이다스에셋자산운용","0.410",5,"채권형"
"7.07","1.08","2.34","3.15","마이다스우량채권1호(채권)A2","0.4000","마이다스에셋자산운용","0.160",5,"채권형"
"7.01","1.07","2.33","3.12","마이다스우량채권1호(채권)Ae","0.1000","마이다스에셋자산운용","0.210",5,"채권형"
"6.96","1.07","2.32","3.09","마이다스우량채권1호(채권)Ce","0.0000","마이다스에셋자산운용","0.260",5,"채권형"
"6.85","1.06","2.29","3.04","마이다스우량채권1호(채권)C-P1","0.0000","마이다스에셋자산운용","0.360",5,"채권형"
"6.98","1.07","2.32","3.11","마이다스우량채권1호(채권)C-Pe1","0.0000","마이다스에셋자산운용","0.235",5,"채권형"
"7.12","1.08","2.36","3.17","마이다스우량채권1호(채권)C-W","0.0000","마이다스에셋자산운용","0.110",5,"채권형"
"6.91","1.07","2.30","3.07","마이다스우량채권1호(채권)A","0.2000","마이다스에셋자산운용","0.310",5,"채권형"
"9.01","1.29","1.22","2.65","마이다스아시아리더스성장주H(주식)A","1.0000","마이다스에셋자산운용","1.770",2,"주식형"
"9.44","1.32","1.32","2.86","마이다스아시아리더스성장주H(주식)Ae","0.5000","마이다스에셋자산운용","1.370",2,"주식형"
"8.48","1.25","1.10","2.40","마이다스아시아리더스성장주H(주식)C1","0.0000","마이다스에셋자산운용","2.270",2,"주식형"
"9.34","1.31","1.30","2.81","마이다스아시아리더스성장주H(주식)Ce","0.0000","마이다스에셋자산운용","1.470",2,"주식형"
"9.90","1.36","1.43","3.07","마이다스아시아리더스성장주H(주식)W","0.0000","마이다스에셋자산운용","0.970",2,"주식형"
"8.97","1.29","1.21","2.63","마이다스아시아리더스성장주H(주식)CP1","0.0000","마이다스에셋자산운용","1.810",2,"주식형"
"9.55","1.33","1.35","2.91","마이다스아시아리더스성장주H(주식)CPe1","0.0000","마이다스에셋자산운용","1.270",2,"주식형"
"7.51","3.19","0.82","2.41","마이다스아시아리더스성장주UH(주식)A","1.0000","마이다스에셋자산운용","1.770",2,"주식형"
"7.93","3.22","0.92","2.61","마이다스아시아리더스성장주UH(주식)Ae","0.5000","마이다스에셋자산운용","1.370",2,"주식형"
"6.98","3.15","0.69","2.16","마이다스아시아리더스성장주UH(주식)C1","0.0000","마이다스에셋자산운용","2.270",2,"주식형"
"7.83","3.21","0.90","2.56","마이다스아시아리더스성장주UH(주식)Ce","0.0000","마이다스에셋자산운용","1.470",2,"주식형"
"0.00","3.26","1.04","0.00","마이다스아시아리더스성장주UH(주식)W","0.0000","마이다스에셋자산운용","0.970",2,"주식형"
