12개월누적수익률(퍼센트),1개월누적수익률(퍼센트),3개월누적수익률(퍼센트),6개월누적수익률(퍼센트),상품명,선취수수료(퍼센트),운용사명,총보수(퍼센트),펀드등급,펀드유형
"0.76","0.13","-0.12","-0.94","미래에셋단기채알파(채권혼합)C","0.0000","미래에셋자산운용","0.640",5,"채권혼합형"
"0.96","0.15","-0.07","-0.84","미래에셋단기채알파(채권혼합)C-e","0.0000","미래에셋자산운용","0.440",5,"채권혼합형"
"0.83","0.14","-0.10","-0.90","미래에셋단기채알파(채권혼합)C-P","0.0000","미래에셋자산운용","0.560",5,"채권혼합형"
"1.00","0.15","-0.06","-0.82","미래에셋단기채알파(채권혼합)C-Pe","0.0000","미래에셋자산운용","0.400",5,"채권혼합형"
"0.90","0.37","0.19","-1.62","미래에셋밸런스알파플러스(채권혼합)A","0.7000","미래에셋자산운용","0.900",5,"채권혼합형"
"1.13","0.39","0.25","-1.50","미래에셋밸런스알파플러스(채권혼합)A-e","0.3500","미래에셋자산운용","0.670",5,"채권혼합형"
"0.64","0.35","0.13","-1.75","미래에셋밸런스알파플러스(채권혼합)C","0.0000","미래에셋자산운용","1.160",5,"채권혼합형"
"1.00","0.38","0.22","-1.57","미래에셋밸런스알파플러스(채권혼합)C-e","0.0000","미래에셋자산운용","0.800",5,"채권혼합형"
"0.78","0.36","0.16","-1.68","미래에셋밸런스알파플러스(채권혼합)C-P","0.0000","미래에셋자산운용","1.020",5,"채권혼합형"
"1.07","0.39","0.24","-1.53","미래에셋밸런스알파플러스(채권혼합)C-Pe","0.0000","미래에셋자산운용","0.730",5,"채권혼합형"
"-0.43","0.41","0.31","-1.39","미래에셋밸런스알파플러스(채권혼합) F","0.0000","미래에셋자산운용","0.440",5,"채권혼합형"
"11.09","2.92","7.37","6.71","미래에셋골드특별자산자(금-재간접형)A-e","0.4000","미래에셋자산운용","0.530",3,"특별자산투자"
"25.55","5.44","14.10","9.38","미래에셋글로벌그레이트컨슈머Ae","0.5000","미래에셋자산운용","1.190",2,"주식형"
"39.42","6.65","11.94","12.20","미래에셋브라질1호Ae(주식)","0.5000","미래에셋자산운용","1.420",1,"주식형"
"14.14","4.39","7.62","2.65","미래우리아이3억만들기(주식)C1","0.0000","미래에셋자산운용","2.070",3,"주식형"
"-8.56","-0.36","-6.77","1.62","로저스COMMODITY인덱스C","0.0000","미래에셋자산운용","1.690",2,"특별자산투자"
"-8.25","-0.33","-6.69","1.79","로저스COMMODITY인덱스A","0.8000","미래에셋자산운용","1.350",2,"특별자산투자"
"-4.66","-0.42","-4.04","-4.61","미래에셋로저스농산물지수특별자산C","0.0000","미래에셋자산운용","1.690",2,"특별자산투자"
"-4.34","-0.40","-3.96","-4.45","미래에셋로저스농산물지수특별자산 A","0.8000","미래에셋자산운용","1.350",2,"특별자산투자"
"8.80","2.52","4.15","4.65","미래에셋헤지(사모투자재간접)A","1.0000","미래에셋자산운용","0.950",5,"재간접투자"
"9.07","2.54","4.22","4.77","미래에셋헤지(사모투자재간접)A-e","0.5000","미래에셋자산운용","0.700",5,"재간접투자"
"8.43","2.50","4.06","4.46","미래에셋헤지(사모투자재간접)C","0.0000","미래에셋자산운용","1.300",5,"재간접투자"
"8.84","2.53","4.16","4.66","미래에셋헤지(사모투자재간접)C-e","0.0000","미래에셋자산운용","0.920",5,"재간접투자"
"1.16","0.17","-0.02","-0.74","미래에셋단기채알파(채권혼합) F","0.0000","미래에셋자산운용","0.240",5,"채권혼합형"
"-7.89","-0.30","-6.60","1.99","로저스COMMODITY인덱스Ae","0.4000","미래에셋자산운용","0.970",2,"특별자산투자"
"-3.97","-0.36","-3.86","-4.27","미래에셋로저스농산물지수특별자산 Ae","0.4000","미래에셋자산운용","0.970",2,"특별자산투자"
"35.41","4.73","11.80","-0.43","미래에셋코어테크(주식)A","1.0000","미래에셋자산운용","1.435",2,"주식형"
"35.85","4.76","11.89","-0.26","미래에셋코어테크A-e","0.5000","미래에셋자산운용","1.095",2,"주식형"
"34.99","4.71","11.71","-0.59","미래에셋코어테크C","0.0000","미래에셋자산운용","1.755",2,"주식형"
"35.64","4.75","11.85","-0.34","미래에셋코어테크C-e","0.0000","미래에셋자산운용","1.255",2,"주식형"
"35.25","4.72","11.76","-0.49","미래에셋코어테크C-P","0.0000","미래에셋자산운용","1.555",2,"주식형"
"35.77","4.75","11.87","-0.29","미래에셋코어테크C-Pe","0.0000","미래에셋자산운용","1.155",2,"주식형"
"35.69","4.75","11.86","-0.32","미래에셋코어테크AG","0.7000","미래에셋자산운용","1.225",2,"주식형"
"35.38","4.73","11.79","-0.44","미래에셋코어테크CG","0.0000","미래에셋자산운용","1.455",2,"주식형"
"36.28","4.78","11.98","-0.09","미래에셋코어테크F","0.0000","미래에셋자산운용","0.755",2,"주식형"
"0.00","0.78","1.82","2.98","미래에셋달러단기자금(USD)(채권)A","0.2000","미래에셋자산운용","0.350",5,"채권형"
"0.00","0.79","1.83","2.97","미래에셋달러단기자금(USD)(채권)A-e","0.1000","미래에셋자산운용","0.250",5,"채권형"
"0.00","0.76","1.72","2.77","미래에셋달러단기자금(USD)(채권)C","0.0000","미래에셋자산운용","0.450",5,"채권형"
"0.00","0.80","1.83","2.98","미래에셋달러단기자금(USD)(채권)C-e","0.0000","미래에셋자산운용","0.300",5,"채권형"
"16.81","4.39","7.24","7.69","베어링고배당(주식) A","1.0000","베어링자산운용(펀드)","1.434",3,"주식형"
"16.13","4.34","7.08","7.38","베어링고배당(주식) C1","0.0000","베어링자산운용(펀드)","2.034",3,"주식형"
"17.04","4.41","7.29","7.80","베어링고배당(주식) Ce","0.0000","베어링자산운용(펀드)","1.234",3,"주식형"
"13.65","4.45","7.42","8.07","베어링고배당(주식) C-W","0.0000","베어링자산운용(펀드)","0.734",3,"주식형"
"13.76","4.37","7.18","7.59","베어링고배당(주식) C-P","0.0000","베어링자산운용(펀드)","1.634",3,"주식형"
"17.10","4.41","7.30","7.83","베어링고배당(주식) C-Pe","0.0000","베어링자산운용(펀드)","1.234",3,"주식형"
"17.22","4.42","7.33","7.88","베어링고배당(주식) Ae","0.5000","베어링자산운용(펀드)","1.084",3,"주식형"
"10.66","2.72","3.97","2.81","BNK스팩&공모주30 1호(채권혼합)A","0.8000","비엔케이자산운용","0.900",5,"채권혼합형"
"10.88","2.74","4.02","2.92","BNK스팩&공모주30 1호(채권혼합)A-e","0.4000","비엔케이자산운용","0.700",5,"채권혼합형"
"10.00","2.67","3.81","2.51","BNK스팩&공모주30 1호(채권혼합)C","0.0000","비엔케이자산운용","1.500",5,"채권혼합형"
"10.55","2.71","3.94","2.76","BNK스팩&공모주30 1호(채권혼합)C-e","0.0000","비엔케이자산운용","1.000",5,"채권혼합형"
"3.69","0.32","0.95","1.84","BNK법인MMF1호(국공채)C","0.0000","비엔케이자산운용","0.100",6,"MMF(법인)"
"3.31","0.26","0.81","1.60","BNK튼튼개인MMF1호C","0.0000","비엔케이자산운용","0.400",6,"MMF(개인)"
"3.44","0.27","0.84","1.67","BNK튼튼개인MMF1호C-e","0.0000","비엔케이자산운용","0.270",6,"MMF(개인)"
"3.46","0.27","0.84","1.67","BNK튼튼개인MMF1호C-Pe","0.0000","비엔케이자산운용","0.260",6,"MMF(개인)"
"13.75","5.22","6.73","2.52","삼성배당주장기증권1호(주식)C1","0.0000","삼성액티브자산운용","2.280",2,"주식형"
"14.42","5.26","6.89","2.83","삼성배당주장기증권1호(주식)A","1.0000","삼성액티브자산운용","1.680",2,"주식형"
"14.42","5.26","6.89","2.83","삼성배당주장기증권1호(주식)Ce","0.0000","삼성액티브자산운용","1.680",2,"주식형"
"-1.57","-1.23","-14.54","14.75","삼성WTI원유특별자산A","1.0000","삼성자산운용","0.860",1,"특별자산투자"
"-1.98","-1.27","-14.64","14.51","삼성WTI원유특별자산C1","0.0000","삼성자산운용","1.270",1,"특별자산투자"
"-1.90","-1.26","-14.62","14.56","삼성WTI원유특별자산Ce","0.0000","삼성자산운용","1.190",1,"특별자산투자"
"-13.95","-5.50","-10.73","-12.85","삼성클래식차이나본토연금H(주식C","0.0000","삼성자산운용","1.650",2,"주식형"
"-1.14","-1.20","-14.43","14.99","삼성WTI원유특별자산C-W","0.0000","삼성자산운용","0.440",1,"특별자산투자"
"-13.54","-5.45","-10.61","-12.63","삼성클래식차이나본토연금H(주식Ce","0.0000","삼성자산운용","1.175",2,"주식형"
"63.89","13.37","10.01","9.14","삼성코스닥150 1.5배레버리지(주식-파생)A","1.0000","삼성자산운용","1.310",1,"파생상품"
"64.45","13.40","10.10","9.34","삼성코스닥150 1.5배레버리지(주식-파생)Ae","0.5000","삼성자산운용","0.950",1,"파생상품"
"63.00","13.33","9.86","8.82","삼성코스닥150 1.5배레버리지(주식-파생)C1","0.0000","삼성자산운용","1.890",1,"파생상품"
"64.22","13.39","10.07","9.26","삼성코스닥150 1.5배레버리지(주식-파생)Ce","0.0000","삼성자산운용","1.090",1,"파생상품"
"65.10","13.44","10.22","9.56","삼성코스닥150 1.5배레버리지(주식-파생)Cw","0.0000","삼성자산운용","0.590",1,"파생상품"
"28.38","0.81","3.71","4.48","삼성 일본 인덱스H(주식) A","1.0000","삼성자산운용","0.850",2,"주식형"
"28.69","0.83","3.78","4.61","삼성 일본 인덱스H(주식) A-e","0.5000","삼성자산운용","0.595",2,"주식형"
"27.41","0.74","3.51","4.08","삼성 일본 인덱스H(주식) C1","0.0000","삼성자산운용","1.640",2,"주식형"
"28.39","0.81","3.71","4.49","삼성 일본 인덱스H(주식) C-e","0.0000","삼성자산운용","0.840",2,"주식형"
"28.45","0.82","3.73","4.51","삼성 일본 인덱스H(주식) C-Pe","0.0000","삼성자산운용","0.790",2,"주식형"
"29.34","0.86","3.85","4.75","삼성 일본 인덱스H(주식) Cw","0.0000","삼성자산운용","0.340",2,"주식형"
"21.15","4.67","9.18","7.61","삼성미국S&P500인덱스H(주식)A","1.0000","삼성자산운용","0.850",2,"주식형"
"21.45","4.69","9.25","7.75","삼성미국S&P500인덱스H(주식)Ae","0.5000","삼성자산운용","0.595",2,"주식형"
"20.22","4.61","8.97","7.20","삼성미국S&P500인덱스H(주식)C1","0.0000","삼성자산운용","1.640",2,"주식형"
"21.16","4.67","9.19","7.62","삼성미국S&P500인덱스H(주식)Ce","0.0000","삼성자산운용","0.840",2,"주식형"
"20.69","4.64","9.08","7.41","삼성미국S&P500인덱스H(주식)C-P","0.0000","삼성자산운용","1.240",2,"주식형"
"21.22","4.68","9.20","7.64","삼성미국S&P500인덱스H(주식)C-Pe","0.0000","삼성자산운용","0.790",2,"주식형"
"21.75","4.72","9.32","7.88","삼성미국S&P500인덱스H(주식)Cw","0.0000","삼성자산운용","0.340",2,"주식형"
"7.03","0.41","-2.49","1.63","삼성달러표시단기채권UH[채권]A","0.3000","삼성자산운용","0.250",4,"채권형"
"7.06","0.42","-2.48","1.65","삼성달러표시단기채권UH[채권]Ae","0.1500","삼성자산운용","0.220",4,"채권형"
"6.89","0.40","-2.52","1.56","삼성달러표시단기채권UH[채권]C","0.0000","삼성자산운용","0.390",4,"채권형"
"6.99","0.41","-2.50","1.61","삼성달러표시단기채권UH[채권]Ce","0.0000","삼성자산운용","0.290",4,"채권형"
"6.93","0.41","-2.51","1.58","삼성달러표시단기채권UH[채권]C-P","0.0000","삼성자산운용","0.350",4,"채권형"
"7.01","0.41","-2.49","1.62","삼성달러표시단기채권UH[채권]C-Pe","0.0000","삼성자산운용","0.270",4,"채권형"
"7.10","0.42","-2.47","1.66","삼성달러표시단기채권UH[채권]Cw","0.0000","삼성자산운용","0.190",4,"채권형"
"32.95","4.01","9.70","4.12","삼성글로벌메타버스H(주식) A","1.0000","삼성자산운용","1.490",2,"주식형"
"33.36","4.04","9.78","4.28","삼성글로벌메타버스H(주식) Ae","0.5000","삼성자산운용","1.180",2,"주식형"
"32.43","3.98","9.59","3.91","삼성글로벌메타버스H(주식) C","0.0000","삼성자산운용","1.890",2,"주식형"
"33.08","4.02","9.72","4.17","삼성글로벌메타버스H(주식) Ce","0.0000","삼성자산운용","1.390",2,"주식형"
"39.76","3.97","6.36","4.34","삼성글로벌메타버스UH(주식) A","1.0000","삼성자산운용","1.490",2,"주식형"
"40.18","3.99","6.44","4.50","삼성글로벌메타버스UH(주식) Ae","0.5000","삼성자산운용","1.180",2,"주식형"
"39.22","3.94","6.25","4.13","삼성글로벌메타버스UH(주식) C","0.0000","삼성자산운용","1.890",2,"주식형"
"39.89","3.98","6.38","4.39","삼성글로벌메타버스UH(주식) Ce","0.0000","삼성자산운용","1.390",2,"주식형"
"32.69","4.00","9.64","4.01","삼성글로벌메타버스H(주식) C-P","0.0000","삼성자산운용","1.690",2,"주식형"
"33.21","4.03","9.75","4.22","삼성글로벌메타버스H(주식) C-Pe","0.0000","삼성자산운용","1.290",2,"주식형"
"39.49","3.95","6.30","4.24","삼성글로벌메타버스UH(주식) C-P","0.0000","삼성자산운용","1.690",2,"주식형"
"40.03","3.99","6.41","4.45","삼성글로벌메타버스UH(주식) C-Pe","0.0000","삼성자산운용","1.290",2,"주식형"
"7.96","4.38","6.37","4.03","삼성한국형TDF2015(채권혼합-재간접형)A","1.0000","삼성자산운용","0.420",4,"재간접투자"
"8.07","4.39","6.40","4.08","삼성한국형TDF2015(채권혼합-재간접형)Ae","0.5000","삼성자산운용","0.320",4,"재간접투자"
"7.60","4.35","6.28","3.86","삼성한국형TDF2015(채권혼합-재간접형)C","0.0000","삼성자산운용","0.760",4,"재간접투자"
"7.89","4.37","6.36","4.00","삼성한국형TDF2015(채권혼합-재간접형)Ce","0.0000","삼성자산운용","0.490",4,"재간접투자"
"7.65","4.35","6.30","3.88","삼성한국형TDF2015(채권혼합-재간접형)C-P","0.0000","삼성자산운용","0.710",4,"재간접투자"
"7.91","4.37","6.36","4.00","삼성한국형TDF2015(채권혼합-재간접형)C-Pe","0.0000","삼성자산운용","0.470",4,"재간접투자"
"8.17","4.39","6.42","4.13","삼성한국형TDF2015(채권혼합-재간접형)Cw","0.0000","삼성자산운용","0.230",4,"재간접투자"
"8.35","4.44","6.53","4.08","삼성한국형TDF2020(채권혼합-재간접형)A","1.0000","삼성자산운용","0.420",4,"재간접투자"
"8.46","4.45","6.55","4.13","삼성한국형TDF2020(채권혼합-재간접형)Ae","0.5000","삼성자산운용","0.320",4,"재간접투자"
"7.99","4.42","6.44","3.90","삼성한국형TDF2020(채권혼합-재간접형)C","0.0000","삼성자산운용","0.760",4,"재간접투자"
"8.28","4.44","6.51","4.04","삼성한국형TDF2020(채권혼합-재간접형)Ce","0.0000","삼성자산운용","0.490",4,"재간접투자"
"8.04","4.42","6.45","3.93","삼성한국형TDF2020(채권혼합-재간접형)C-P","0.0000","삼성자산운용","0.710",4,"재간접투자"
"8.30","4.44","6.51","4.05","삼성한국형TDF2020(채권혼합-재간접형)C-Pe","0.0000","삼성자산운용","0.470",4,"재간접투자"
"8.79","4.43","6.61","4.25","삼성한국형TDF2020(채권혼합-재간접형)Cw","0.0000","삼성자산운용","0.230",4,"재간접투자"
"9.70","4.53","6.84","4.44","삼성한국형TDF2025(주식혼합-재간접형)A","1.0000","삼성자산운용","0.420",4,"재간접투자"
"9.81","4.54","6.86","4.50","삼성한국형TDF2025(주식혼합-재간접형)Ae","0.5000","삼성자산운용","0.320",4,"재간접투자"
"9.33","4.50","6.75","4.27","삼성한국형TDF2025(주식혼합-재간접형)C","0.0000","삼성자산운용","0.760",4,"재간접투자"
"9.62","4.53","6.82","4.41","삼성한국형TDF2025(주식혼합-재간접형)Ce","0.0000","삼성자산운용","0.490",4,"재간접투자"
"9.38","4.51","6.76","4.29","삼성한국형TDF2025(주식혼합-재간접형)C-P","0.0000","삼성자산운용","0.710",4,"재간접투자"
"9.64","4.53","6.82","4.42","삼성한국형TDF2025(주식혼합-재간접형)C-Pe","0.0000","삼성자산운용","0.470",4,"재간접투자"
"9.92","4.55","6.89","4.55","삼성한국형TDF2025(주식혼합-재간접형)Cw","0.0000","삼성자산운용","0.230",4,"재간접투자"
"12.48","4.77","7.69","5.19","삼성한국형TDF2030(주식혼합-재간접형)A","1.0000","삼성자산운용","0.420",3,"재간접투자"
"12.59","4.77","7.72","5.24","삼성한국형TDF2030(주식혼합-재간접형)Ae","0.5000","삼성자산운용","0.320",3,"재간접투자"
"12.11","4.74","7.60","5.01","삼성한국형TDF2030(주식혼합-재간접형)C","0.0000","삼성자산운용","0.760",3,"재간접투자"
"12.40","4.76","7.67","5.15","삼성한국형TDF2030(주식혼합-재간접형)Ce","0.0000","삼성자산운용","0.490",3,"재간접투자"
"12.16","4.74","7.61","5.04","삼성한국형TDF2030(주식혼합-재간접형)C-P","0.0000","삼성자산운용","0.710",3,"재간접투자"
"12.43","4.76","7.68","5.16","삼성한국형TDF2030(주식혼합-재간접형)C-Pe","0.0000","삼성자산운용","0.470",3,"재간접투자"
"12.70","4.78","7.74","5.29","삼성한국형TDF2030(주식혼합-재간접형)Cw","0.0000","삼성자산운용","0.230",3,"재간접투자"
"13.80","4.85","8.02","5.31","삼성한국형TDF2035(주식혼합-재간접형)A","1.0000","삼성자산운용","0.690",3,"재간접투자"
"14.03","4.86","8.08","5.42","삼성한국형TDF2035(주식혼합-재간접형)Ae","0.5000","삼성자산운용","0.480",3,"재간접투자"
"13.42","4.82","7.93","5.14","삼성한국형TDF2035(주식혼합-재간접형)C","0.0000","삼성자산운용","1.030",3,"재간접투자"
"13.84","4.85","8.04","5.34","삼성한국형TDF2035(주식혼합-재간접형)Ce","0.0000","삼성자산운용","0.650",3,"재간접투자"
"13.51","4.83","7.95","5.18","삼성한국형TDF2035(주식혼합-재간접형)C-P","0.0000","삼성자산운용","0.950",3,"재간접투자"
"13.89","4.85","8.04","5.36","삼성한국형TDF2035(주식혼합-재간접형)C-Pe","0.0000","삼성자산운용","0.610",3,"재간접투자"
"14.55","4.93","8.18","5.66","삼성한국형TDF2035(주식혼합-재간접형)Cw","0.0000","삼성자산운용","0.280",3,"재간접투자"
"13.95","4.87","8.14","5.24","삼성한국형TDF2040(주식혼합-재간접형)A","1.0000","삼성자산운용","0.960",3,"재간접투자"
"14.30","4.89","8.22","5.40","삼성한국형TDF2040(주식혼합-재간접형)Ae","0.5000","삼성자산운용","0.640",3,"재간접투자"
"13.57","4.84","8.05","5.06","삼성한국형TDF2040(주식혼합-재간접형)C","0.0000","삼성자산운용","1.300",3,"재간접투자"
"14.11","4.88","8.18","5.32","삼성한국형TDF2040(주식혼합-재간접형)Ce","0.0000","삼성자산운용","0.810",3,"재간접투자"
"13.64","4.84","8.06","5.09","삼성한국형TDF2040(주식혼합-재간접형)C-P","0.0000","삼성자산운용","1.240",3,"재간접투자"
"14.15","4.88","8.19","5.33","삼성한국형TDF2040(주식혼합-재간접형)C-Pe","0.0000","삼성자산운용","0.780",3,"재간접투자"
"15.02","4.94","8.39","5.74","삼성한국형TDF2040(주식혼합-재간접형)Cw","0.0000","삼성자산운용","0.330",3,"재간접투자"
"14.47","4.89","8.25","5.31","삼성한국형TDF2045(주식혼합-재간접형)A","1.0000","삼성자산운용","0.960",3,"재간접투자"
"14.83","4.92","8.34","5.48","삼성한국형TDF2045(주식혼합-재간접형)Ae","0.5000","삼성자산운용","0.640",3,"재간접투자"
"14.09","4.86","8.16","5.14","삼성한국형TDF2045(주식혼합-재간접형)C","0.0000","삼성자산운용","1.300",3,"재간접투자"
"14.64","4.90","8.29","5.39","삼성한국형TDF2045(주식혼합-재간접형)Ce","0.0000","삼성자산운용","0.810",3,"재간접투자"
"14.16","4.87","8.18","5.17","삼성한국형TDF2045(주식혼합-재간접형)C-P","0.0000","삼성자산운용","1.240",3,"재간접투자"
"14.67","4.91","8.30","5.41","삼성한국형TDF2045(주식혼합-재간접형)C-Pe","0.0000","삼성자산운용","0.780",3,"재간접투자"
"15.53","4.98","8.51","5.86","삼성한국형TDF2045(주식혼합-재간접형)Cw","0.0000","삼성자산운용","0.330",3,"재간접투자"
"14.98","4.93","8.48","5.53","삼성한국형TDF2050(주식혼합-재간접형)A","1.0000","삼성자산운용","0.960",3,"재간접투자"
"15.35","4.96","8.56","5.70","삼성한국형TDF2050(주식혼합-재간접형)Ae","0.5000","삼성자산운용","0.640",3,"재간접투자"
"14.60","4.91","8.39","5.35","삼성한국형TDF2050(주식혼합-재간접형)C","0.0000","삼성자산운용","1.300",3,"재간접투자"
"15.15","4.95","8.52","5.61","삼성한국형TDF2050(주식혼합-재간접형)Ce","0.0000","삼성자산운용","0.810",3,"재간접투자"
"14.67","4.91","8.40","5.38","삼성한국형TDF2050(주식혼합-재간접형)C-P","0.0000","삼성자산운용","1.240",3,"재간접투자"
"15.19","4.95","8.53","5.62","삼성한국형TDF2050(주식혼합-재간접형)C-Pe","0.0000","삼성자산운용","1.240",3,"재간접투자"
"19.26","4.73","5.00","5.56","삼성한국형TDF2050UH(주식혼합-재간접형)A","1.0000","삼성자산운용","0.960",3,"재간접투자"
"19.63","4.76","5.09","5.72","삼성한국형TDF2050(주식혼합-재간접형)Ae","0.5000","삼성자산운용","0.640",3,"재간접투자"
"18.87","4.70","4.91","5.38","삼성한국형TDF2050(주식혼합-재간접형)C","0.0000","삼성자산운용","1.300",3,"재간접투자"
"19.44","4.74","5.04","5.63","삼성한국형TDF2050(주식혼합-재간접형)Ce","0.0000","삼성자산운용","0.810",3,"재간접투자"
"18.93","4.71","4.93","5.41","삼성한국형TDF2050(주식혼합-재간접형)C-P","0.0000","삼성자산운용","1.240",3,"재간접투자"
"19.47","4.75","5.05","5.65","삼성한국형TDF2050(주식혼합-재간접형)C-Pe","0.0000","삼성자산운용","0.780",3,"재간접투자"
"15.62","4.96","8.55","5.75","삼성한국형TDF2055(주식혼합-재간접형)Ae","0.5000","삼성자산운용","0.640",3,"재간접투자"
"0.00","4.96","8.56","5.82","삼성한국형TDF2055(주식혼합-재간접형)Ce","0.0000","삼성자산운용","0.810",3,"재간접투자"
"14.93","4.91","8.39","5.44","삼성한국형TDF2055(주식혼합-재간접형)C-P","0.0000","삼성자산운용","1.240",3,"재간접투자"
"15.45","4.95","8.51","5.68","삼성한국형TDF2055(주식혼합-재간접형)C-Pe","0.0000","삼성자산운용","0.780",3,"재간접투자"
"16.12","5.26","7.41","7.18","삼성글로벌선진국H(주식)A","1.0000","삼성자산운용","1.220",3,"주식형"
"16.53","5.29","7.51","7.37","삼성글로벌선진국H(주식)Ae","0.5000","삼성자산운용","0.860",3,"주식형"
"15.04","5.36","5.75","5.83","삼성글로벌선진국H(주식)Ag","0.6500","삼성자산운용","0.980",3,"주식형"
"15.45","5.21","7.25","6.87","삼성글로벌선진국H(주식)C1","0.0000","삼성자산운용","1.800",3,"주식형"
"16.09","5.28","7.21","7.03","삼성글로벌선진국H(주식)Ce","0.0000","삼성자산운용","1.000",3,"주식형"
"14.91","5.26","6.26","6.04","삼성글로벌선진국H(주식)Cg","0.0000","삼성자산운용","1.170",3,"주식형"
"14.90","5.28","6.12","5.94","삼성글로벌선진국H(주식)C-P","0.0000","삼성자산운용","1.000",3,"주식형"
"16.65","5.30","7.54","7.43","삼성글로벌선진국H(주식)C-Pe","0.0000","삼성자산운용","0.750",3,"주식형"
"16.94","5.32","7.61","7.56","삼성글로벌선진국H(주식)Cw","0.0000","삼성자산운용","0.500",3,"주식형"
"5.08","6.81","9.00","9.21","삼성글로벌배당귀족ESG(H)A","1.0000","삼성자산운용","1.090",2,"주식형"
"5.40","6.83","9.08","9.37","삼성글로벌배당귀족ESG(H)Ae","0.5000","삼성자산운용","0.780",2,"주식형"
"4.66","6.78","8.90","9.00","삼성글로벌배당귀족ESG(H)C","0.0000","삼성자산운용","1.490",2,"주식형"
"5.18","6.82","9.02","9.26","삼성글로벌배당귀족ESG(H)Ce","0.0000","삼성자산운용","0.990",2,"주식형"
"5.29","6.83","9.05","9.31","삼성글로벌배당귀족ESG(H)C-Pe","0.0000","삼성자산운용","0.890",2,"주식형"
"5.70","6.86","9.16","9.52","삼성글로벌배당귀족ESG(H)Cw","0.0000","삼성자산운용","0.490",2,"주식형"
"9.44","7.87","7.25","9.58","삼성글로벌배당귀족ESG(UH)A","1.0000","삼성자산운용","1.090",1,"주식형"
"9.77","7.89","7.33","9.75","삼성글로벌배당귀족ESG(UH)Ae","0.5000","삼성자산운용","0.780",1,"주식형"
"9.00","7.84","7.15","9.37","삼성글로벌배당귀족ESG(UH)C","0.0000","삼성자산운용","1.490",1,"주식형"
"9.54","7.88","7.28","9.64","삼성글로벌배당귀족ESG(UH)Ce","0.0000","삼성자산운용","0.990",1,"주식형"
"9.26","7.86","7.20","9.48","삼성글로벌배당귀족ESG(UH)C-P","0.0000","삼성자산운용","1.290",1,"주식형"
"9.65","7.89","7.30","9.69","삼성글로벌배당귀족ESG(UH)C-Pe","0.0000","삼성자산운용","0.890",1,"주식형"
"0.00","0.41","1.29","0.00","삼성달러표시MMF법인제1호(USD)C","0.0000","삼성자산운용","0.300",6,"MMF(법인)"
"0.00","0.42","1.32","0.00","삼성달러표시MMF법인제1호(USD)Ce","0.0000","삼성자산운용","0.200",6,"MMF(법인)"
"5.21","4.22","5.60","1.29","슈로더유로증권(주식-재간접형)A","1.0000","슈로더투신운용","2.010",2,"재간접투자"
"4.79","4.18","5.50","1.09","슈로더유로증권C1(주식-재간접형)","0.0000","슈로더투신운용","2.410",2,"재간접투자"
"5.57","4.24","5.67","1.45","슈로더유로연금C(주식-재간접)","0.0000","슈로더투신운용","1.660",2,"재간접투자"
"5.99","4.28","5.80","1.67","슈로더유로증권Ae(주식-재간접형)","0.5000","슈로더투신운용","1.260",2,"재간접투자"
"6.36","4.31","5.89","1.84","슈로더유로증권(주식-재간접형)W","0.0000","슈로더투신운용","0.910",2,"재간접투자"
"6.07","4.28","5.80","1.70","슈로더유로연금(주식-재간접)Ce","0.0000","슈로더투신운용","1.185",2,"재간접투자"
"5.83","4.27","5.76","1.59","슈로더유로증권Ce(주식-재간접형)","0.0000","슈로더투신운용","1.410",2,"재간접투자"
"15.48","4.34","7.19","7.20","신영밸류고배당증권자(주식)A","1.0000","신영자산운용","1.180",3,"주식형"
"15.29","4.33","7.14","7.11","신영밸류고배당증권자(주식)C","0.0000","신영자산운용","1.350",3,"주식형"
"13.27","4.91","7.50","6.10","신영마라톤증권형A1[주식]","1.0000","신영자산운용","1.700",3,"주식형"
"16.29","4.40","7.37","7.58","신영밸류고배당증권(주식)W","0.0000","신영자산운용","0.470",3,"주식형"
"9.02","2.24","3.95","4.22","신영밸류고배당40증권자형A(채혼)","0.6000","신영자산운용","0.890",4,"채권혼합형"
"8.61","2.21","3.85","4.02","신영밸류고배당40증권자형C(채혼)","0.0000","신영자산운용","1.270",4,"채권혼합형"
"9.08","2.24","3.97","4.25","신영밸류고배당40증권자형Ce(채혼)","0.0000","신영자산운용","0.830",4,"채권혼합형"
"9.56","2.28","4.08","4.48","신영밸류고배당40증권자형C-W(채혼)","0.0000","신영자산운용","0.390",4,"채권혼합형"
"8.69","2.22","3.88","4.07","신영밸류고배당40증권자형C-P(채혼)","0.0000","신영자산운용","1.190",4,"채권혼합형"
"15.30","4.33","7.15","7.12","신영밸류고배당증권자(주식)C-P","0.0000","신영자산운용","1.340",3,"주식형"
"11.59","5.04","7.27","5.84","신영마라톤증권(주식)C-P","0.0000","신영자산운용","1.390",2,"주식형"
"12.09","5.08","7.39","6.08","신영마라톤증권(주식)e","0.0000","신영자산운용","0.990",2,"주식형"
"15.57","4.35","7.21","7.24","신영밸류고배당증권자(주식)A-G","0.5000","신영자산운용","1.110",3,"주식형"
"15.33","4.33","7.15","7.13","신영밸류고배당증권자(주식)C-G","0.0000","신영자산운용","1.320",3,"주식형"
